id;Factor;Power;Time;ROI;Frequency;Eyes
13;ALPHA_aucp_POST_EO_parietotemporalPURE;0.22215;Post;Parietotemporal;Alpha;EO
14;ALPHA_aucp_POST_EO_parietotemporalPURE;0.1687;Post;Parietotemporal;Alpha;EO
1;THETA_aucp_PRE_EO_parietotemporalPURE;0.115625;Pre;Parietotemporal;Theta;EO
2;THETA_aucp_PRE_EO_parietotemporalPURE;0.150125;Pre;Parietotemporal;Theta;EO
3;THETA_aucp_PRE_EO_parietotemporalPURE;0.188275;Pre;Parietotemporal;Theta;EO
4;THETA_aucp_PRE_EO_parietotemporalPURE;0.1604;Pre;Parietotemporal;Theta;EO
5;THETA_aucp_PRE_EO_parietotemporalPURE;0.248825;Pre;Parietotemporal;Theta;EO
6;THETA_aucp_PRE_EO_parietotemporalPURE;0.324625;Pre;Parietotemporal;Theta;EO
7;THETA_aucp_PRE_EO_parietotemporalPURE;0.17185;Pre;Parietotemporal;Theta;EO
8;THETA_aucp_PRE_EO_parietotemporalPURE;0.149625;Pre;Parietotemporal;Theta;EO
9;THETA_aucp_PRE_EO_parietotemporalPURE;0.15815;Pre;Parietotemporal;Theta;EO
10;THETA_aucp_PRE_EO_parietotemporalPURE;0.1713;Pre;Parietotemporal;Theta;EO
11;THETA_aucp_PRE_EO_parietotemporalPURE;0.175875;Pre;Parietotemporal;Theta;EO
12;THETA_aucp_PRE_EO_parietotemporalPURE;0.22399999999999998;Pre;Parietotemporal;Theta;EO
13;THETA_aucp_PRE_EO_parietotemporalPURE;0.17135;Pre;Parietotemporal;Theta;EO
14;THETA_aucp_PRE_EO_parietotemporalPURE;0.1848;Pre;Parietotemporal;Theta;EO
1;THETA_aucp_POST_EO_parietotemporalPURE;0.13805;Post;Parietotemporal;Theta;EO
2;THETA_aucp_POST_EO_parietotemporalPURE;0.094175;Post;Parietotemporal;Theta;EO
3;THETA_aucp_POST_EO_parietotemporalPURE;0.181725;Post;Parietotemporal;Theta;EO
4;THETA_aucp_POST_EO_parietotemporalPURE;0.135475;Post;Parietotemporal;Theta;EO
5;THETA_aucp_POST_EO_parietotemporalPURE;0.237075;Post;Parietotemporal;Theta;EO
6;THETA_aucp_POST_EO_parietotemporalPURE;0.29955;Post;Parietotemporal;Theta;EO
7;THETA_aucp_POST_EO_parietotemporalPURE;0.2038;Post;Parietotemporal;Theta;EO
